conjunto,esquema,dobra,n_treino,n_teste,C_binaria,C_multiclasse,ridge_alpha,bin_acuracia,bin_precisao,bin_recall,bin_especificidade,bin_f1,bin_roc_auc,bin_saudaveis_no_teste,mul_acuracia_balanceada,mul_f1_macro,mul_nivel_correto,mul_erro_um_nivel,mul_erro_dois_ou_mais,reg_mae_alfa,reg_rmse_alfa,reg_r2,reg_mae_espiras,reg_vies_alfa,reg_nivel_mais_proximo_correto,conformal_meia_largura,conformal_cobertura,fora_dominio_fracao
trivial,aleatoria,a0,204,51,0.1,10.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.014078085342694262,0.03352123462140186,0.9902142614400139,8.446851205616557,-0.0002585334252910391,0.9803921568627451,,,
trivial,aleatoria,a1,204,51,0.1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.013083307449163275,0.017140600699569106,0.9974661162231285,7.849984469497965,-0.002870735693492272,0.9803921568627451,,,
trivial,aleatoria,a2,204,51,0.1,10.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.012271632894716342,0.018399957784019712,0.997013192432075,7.362979736829805,0.002774515153915812,0.9607843137254902,,,
trivial,aleatoria,a3,204,51,0.1,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9777777777777779,0.9775533108866442,0.9803921568627451,0.0,0.0196078431372549,0.012286725457518861,0.0186705099329757,0.9969150378377721,7.372035274511317,0.0018356204194149746,0.9607843137254902,,,
trivial,aleatoria,a4,204,51,0.1,10.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9814814814814815,0.9797979797979798,0.9803921568627451,0.0196078431372549,0.0,0.01205144808612838,0.019927459306291508,0.9964465600237916,7.230868851677028,-0.0022085325975191583,0.9803921568627451,,,
trivial,blocos,b0,190,56,0.1,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.011583187225967812,0.01615231512352187,0.9976970435913199,6.949912335580687,-0.003994945176277895,1.0,0.04023834047930874,0.9821428571428571,0.0
trivial,blocos,b1,185,52,0.1,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.009083387469800395,0.013185438007855124,0.9985053434632991,5.450032481880237,-0.002030463076770055,1.0,0.04789520941398484,1.0,0.0
trivial,blocos,b2,188,49,0.1,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.011361031232760955,0.014745618855683169,0.9980763970387955,6.816618739656573,0.001982206680522981,0.9795918367346939,0.042467704418303276,0.9795918367346939,0.0
trivial,blocos,b3,188,49,0.1,10.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9814814814814815,0.9797979797979798,0.9795918367346939,0.02040816326530612,0.0,0.019107972484253225,0.034807578016433256,0.9892814252937163,11.464783490551936,0.0034976071142802214,0.8979591836734694,0.043448960715491425,0.9183673469387755,0.0
trivial,blocos,b4,197,49,0.1,10.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,4,0.8972222222222221,0.8880859880859882,0.8979591836734694,0.08163265306122448,0.02040816326530612,0.030540739341170683,0.03965728589564649,0.9860865316248212,18.32444360470241,0.00031023683850850696,0.8367346938775511,0.02875844389395088,0.5510204081632653,0.12244897959183673
